baseline,baseline,baseline,baseline,baseline,baseline,baseline,baseline,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval10,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,setInterval200,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_jerk_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,adaptive_accel_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,iterative_error_10,
sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,sucess,final dist,execution time,optimisation time,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,
1,0.0349852,4.208,31.5914,237.115,244.775,97.6988,100,1,0.0349048,2.468,14.0561,39.4329,245.033,97.2498,10.1,0,0.125618,7.204,34.6919,19.4989,244.599,89.8064,0.6,0,0.0938078,7.204,37.7956,26.9443,244.208,98.2526,1.38065,0,0.289329,7.204,35.4038,24.6477,242.344,82.8771,1.53216,0,0.479531,7.204,33.768,22.5547,239.224,88.6135,0.610327,
1,0.0349061,4.632,33.6769,227.258,246.477,89.1821,100,0,0.110026,7.204,38.335,39.3869,245.083,92.9982,10.1,0,0.134075,7.204,34.2178,19.2375,243.516,90.6897,0.6,0,0.156472,7.204,32.5575,23.5056,239.582,72.5734,1.19974,0,0.411348,7.204,32.4612,22.7338,238.754,82.7468,1.24118,0,0.840632,7.204,32.9899,24.6721,239.134,78.6661,0.750719,
1,0.0349541,6.136,43.2137,221.307,244.72,87.2873,100,1,0.0345699,2.436,13.0081,36.6273,242.935,74.3513,10.1,1,0.0349752,3.22,17.8778,19.7216,244.675,107.354,0.6,1,0.0341271,1.54,6.86808,23.4664,243.779,77.336,1.14691,1,0.0344322,2.116,9.90217,24.2062,244.114,77.6396,1.464,1,0.0348825,3.252,14.615,20.7007,244.418,82.9927,0.461988,
0,0.0972634,7.204,54.3442,245.125,245.691,85.0081,100,0,0.143128,7.204,37.4944,39.8642,245.77,97.9777,10.1,1,0.0349104,6.584,33.8547,19.2603,241.607,80.9836,0.6,0,0.114501,7.204,34.7738,23.1071,242.237,91.4174,1.16418,0,0.134412,7.204,33.4008,27.4975,240.498,82.1352,1.66915,0,0.231125,7.204,34.4061,40.9022,247.944,78.8664,1.87948,
1,0.0349257,5.092,41.3085,269.759,256.11,98.5323,100,1,0.0349315,3.104,17.653,42.2238,246.875,95.0228,10.1,1,0.0349206,2.1,11.2885,19.8443,247.318,103.019,0.6,1,0.0348393,2.412,11.6025,22.9674,247.592,90.2318,1.1248,1,0.0349146,2.54,12.2189,23.8947,246.583,83.2056,1.26519,1,0.0349709,2.348,11.9034,23.0416,247.858,88.9761,0.571605,
0,0.290387,7.204,49.3836,228.932,243.054,72.5752,100,1,0.0348581,1.892,10.2059,40.5903,246.775,100.258,10.1,0,0.193303,7.204,32.6783,19.608,241.914,86.6442,0.6,1,0.0349643,2.372,13.025,27.8182,246.699,97.5423,1.4377,0,0.159757,7.204,34.1435,28.4723,246.265,79.6236,1.74752,0,0.123278,7.204,34.0356,25.2583,245.153,85.63,0.677255,
1,0.0349943,6.096,44.4537,231.921,247.968,81.6818,100,0,0.116689,7.204,36.1227,37.6815,240.729,85.4769,10.1,0,0.277796,7.204,31.5623,19.2403,239.484,77.7856,0.6,0,0.184101,7.204,33.3885,23.9626,242.997,86.0227,1.20948,0,0.173583,7.204,33.3396,23.0146,247.294,84.851,1.2583,0,0.30531,7.204,30.8772,19.4636,239.129,71.0391,0.414902,
0,0.0669694,7.204,51.2912,225.402,247.777,83.6478,100,0,0.307568,7.204,34.2514,39.3702,241.651,86.3902,10.1,1,0.0349873,3.164,15.5825,19.7045,246.045,78.4402,0.6,1,0.0348152,3.112,14.3229,22.4001,244.827,75.6515,1.12102,0,0.127112,7.204,36.2977,25.4714,246.895,81.6009,1.44523,0,0.187964,7.204,34.9007,40.4131,241.216,73.7322,1.70588,
1,0.0348442,4.96,38.0851,254.038,247.868,100.752,100,1,0.0349451,2.812,13.7115,41.2391,246.741,86.0642,10.1,1,0.0349965,3.488,17.6427,19.6356,246.821,96.8462,0.6,1,0.0348102,1.588,7.17674,23.6241,247.968,90.9881,1.12654,1,0.0349575,2.652,11.8994,24.5482,246.608,73.4247,1.33548,1,0.0349252,2.708,12.5788,27.8059,246.777,68.7403,1.01146,
1,0.0348645,3.856,26.6187,217.937,248.596,87.5909,100,1,0.0349137,2.996,15.2982,40.9206,248.223,106.667,10.1,1,0.0349541,2.764,13.2268,19.9327,247.119,105.503,0.6,1,0.0349538,2.336,11.2496,23.0133,247.462,105.307,1.12675,1,0.0349332,2.452,12.13,22.4412,246.935,107.823,1.17126,1,0.0349946,2.528,12.7016,31.5973,246.6,105.432,1.66963,
1,0.0349157,4.38,31.6991,231.901,246.929,91.1412,100,1,0.0349267,2.104,10.9525,39.0436,247.583,98.1034,10.1,0,0.189084,7.204,34.1167,19.5155,246.442,83.7497,0.6,0,0.143539,7.204,35.8608,29.8775,248.287,85.8123,1.47869,0,0.155443,7.204,33.4043,27.5503,247.29,74.5811,1.38046,0,0.613728,7.204,35.5676,30.9433,243.657,80.1922,0.921961,
1,0.034772,4.248,29.3265,216.919,248.35,82.8616,100,1,0.0349343,2.552,14.3592,38.6323,246.592,92.6894,10.1,1,0.0349876,2.328,11.2852,19.9138,245.929,99.4173,0.6,1,0.0349739,2.332,10.7911,23.5002,246.401,90.911,1.14609,1,0.0349713,2.54,12.4057,23.0959,247.01,102.983,1.21815,1,0.0349894,2.9,14.7785,40.1797,249.092,103.719,2.22353,
1,0.0348946,4.372,36.083,295.871,262.357,95.0825,100,1,0.0349737,2.528,14.6589,75.6281,267.307,104.44,10.1,1,0.0349337,2.492,14.8079,51.1917,268.863,117.439,0.6,1,0.0349122,2.4,12.9754,57.4012,267.244,93.8199,1.17897,1,0.0349406,2.856,15.482,48.3774,264.32,114.296,1.28822,1,0.0349381,2.496,13.6,53.655,268.361,103.915,1.06437,
1,0.034963,3.876,32.0807,284.459,275.238,92.852,100,1,0.0349184,3.184,16.107,44.6247,249.922,102.105,10.1,1,0.0349914,2.552,14.4184,51.0611,267.577,119.139,0.6,1,0.0349135,2.64,16.5139,49.2309,291.308,132.875,1.12527,1,0.034932,2.676,14.3839,47.318,260.09,113.758,1.15591,1,0.0349776,2.696,13.2086,19.1774,248.116,105.12,0.404167,
0,0.0997248,7.204,51.3121,237.791,247.664,75.8986,100,0,0.181864,7.204,35.0951,39.794,242.008,88.9293,10.1,1,0.0349265,5.3,26.1989,19.121,241.821,87.8245,0.6,1,0.0349586,1.952,11.2094,26.3359,246.055,95.7109,1.33816,1,0.0332604,2.084,10.6859,25.9851,246.136,75.9632,1.53356,0,0.0963078,7.204,31.668,22.4929,241.682,73.163,0.612026,
1,0.0349858,6.252,45.1075,236.19,247.24,85.423,100,1,0.0349664,2.424,13.3052,37.6708,245.629,88.592,10.1,0,0.0508143,7.204,35.2557,19.5338,245.714,94.1742,0.6,0,0.129738,7.204,36.6556,36.8298,242.186,82.2782,2.94444,0,0.358301,7.204,32.8227,31.5,243.721,75.0761,2.23111,0,0.301532,7.204,34.8476,32.091,245.061,87.1546,1.70641,
1,0.0349688,4.792,35.2251,239.212,247.071,90.9066,100,1,0.0349065,2.548,12.5829,41.0882,246.155,92.7891,10.1,1,0.0349324,2.56,12.2869,19.6886,246.071,102.474,0.6,1,0.0348949,2.488,11.9505,23.4574,245.615,102.899,1.14483,1,0.0348925,2.424,11.9068,23.066,245.505,102.937,1.26329,1,0.0349286,2.884,15.074,23.1163,246.957,99.6104,0.631373,
1,0.03489,4.944,35.6913,228.857,242.866,75.7803,100,0,0.144877,7.204,36.3929,39.893,246.879,89.8261,10.1,0,0.168737,7.204,33.5239,20.2716,240.629,87.8671,0.6,0,0.212899,7.204,33.3498,23.8863,243.013,88.1424,1.19595,1,0.0348908,1.8,8.23131,27.9177,240.996,71.851,1.58889,0,0.231926,7.204,36.905,57.624,244.895,79.234,2.38052,
1,0.0348762,4.456,32.0125,227.261,249.965,87.9522,100,0,0.331995,7.204,33.7673,36.9844,239.707,83.6533,10.1,0,0.152306,7.204,34.5049,23.5771,249.183,81.5413,0.6,1,0.0347438,4.132,20.2835,27.8714,255.491,82.8019,1.19297,1,0.0349628,3.144,17.5764,26.5364,251.826,104.698,1.36517,1,0.0349209,2.508,11.9564,22.6047,246.446,102.957,0.580077,
0,0.127296,7.204,52.769,242.548,254.28,82.1771,100,0,0.219508,7.204,34.9695,39.4353,246.745,85.4836,10.1,0,0.256747,7.204,35.883,21.7113,253.32,90.7517,0.6,0,0.178376,7.204,34.3912,26.3096,257.021,82.1993,1.19791,1,0.0349805,1.588,7.41524,23.9069,255.724,74.818,1.21235,0,0.219456,7.204,38.0913,57.4768,256.424,89.1701,4.26039,
1,0.0347882,5.056,37.5509,236.34,257.426,91.9986,100,1,0.0348705,2.68,16.4521,78.6684,266.031,97.219,10.1,1,0.0349497,2.656,19.0098,80.8246,350.84,122.479,0.6,0,0.070972,7.204,39.7942,49.7189,260.767,110.486,1.88438,0,0.334241,7.204,34.5715,37.3543,242.234,89.6593,2.62471,0,0.296947,7.204,40.6152,72.6494,273.903,90.0932,2.88863,
0,0.0842312,7.204,73.0989,400.551,300.612,104.685,100,0,0.203965,7.204,40.2857,67.5478,265.737,94.132,10.1,0,0.220631,7.204,33.692,20.6637,240.256,81.8144,0.6,0,0.191853,7.204,34.6454,41.3331,244.099,81.1314,2.53569,0,0.283261,7.204,32.9278,29.8961,245.512,75.1291,1.63399,1,0.0346192,1.624,7.49137,29.9725,247.484,77.6454,0.987135,
1,0.0349243,4.84,33.9833,223.353,247.66,87.1356,100,1,0.0349958,2.196,12.388,37.9662,248.015,96.8887,10.1,1,0.0349366,2.08,9.38725,19.9332,245.472,86.5117,0.6,1,0.0349716,2.292,12.1186,24.5763,248.153,96.6541,1.16749,1,0.0349456,2.48,15.8855,26.0581,245.014,98.7526,1.4567,1,0.0349003,2.52,12.8393,20.2894,248.358,86.5713,0.42069,
