baseline,baseline,baseline,baseline,baseline,setInterval100,setInterval100,setInterval100,setInterval100,setInterval100,setInterval1000,setInterval1000,setInterval1000,setInterval1000,setInterval1000,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_jerk_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,adaptive_accel_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,iterative_error_50,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
4.85538,38.0773,100,0.338767,5,3.48851,38.4032,1.04,0.0619918,5,3.64507,38.2479,0.16,0.0655286,5,3.41506,38.4038,1.04,0.0710008,5,3.349,38.4037,1.04571,0.067901,5,3.39434,38.5048,0.571429,0.0621572,5,
7.03793,35.8407,100,0.357129,7,4.97121,35.6387,1.04,0.0707839,7,5.02364,36.2263,0.16,0.0666369,7,5.13192,35.7093,1.15429,0.0726424,7,6.05664,35.7377,1.15429,0.0864743,7,6.05188,35.7829,0.897143,0.0965281,7,
9.69427,5.71068,100,0.547004,6,4.96333,7.0141,1.04,0.113955,4,4.96594,11.0493,0.16,0.109998,4,7.44977,5.78379,1.08,0.131897,6,5.13426,9.46084,1.07429,0.146384,4,4.37187,11.1646,0.44,0.103551,4,
5.85929,68.0532,100,0.352357,6,4.01314,71.2888,1.04,0.0606447,6,3.3487,72.968,0.16,0.0568558,5,5.00379,68.0778,1.28,0.0734907,7,4.74124,68.6088,1.25714,0.0668291,7,4.30473,70.249,0.902857,0.0684592,6,
6.12902,87.4594,100,0.369818,6,4.95584,89.3034,1.04,0.0678473,7,4.7906,83.7315,0.16,0.058983,7,5.0958,87.3516,1.43429,0.0725256,7,5.60018,88.2709,1.48571,0.0705695,8,5.03615,85.7451,1.26286,0.0739911,7,
8.18469,49.2886,100,0.379681,8,6.35853,47.5943,1.04,0.0622552,9,7.13871,47.8273,0.16,0.0623022,10,6.59518,47.7361,1.47429,0.0733701,9,6.43407,47.7304,1.48571,0.0702113,9,5.63291,49.756,1.18857,0.0740222,8,
4.8396,17.1059,100,0.311993,5,3.57468,17.1381,1.04,0.0653502,5,3.53316,17.4587,0.16,0.0634618,5,3.46501,17.139,1.05143,0.0709944,5,3.55419,17.1216,1.05714,0.0697782,5,3.40866,17.2643,0.4,0.0610398,5,
6.19766,37.3586,100,0.3845,6,5.02582,37.2131,1.04,0.0626831,7,4.94126,39.527,0.16,0.05982,7,4.30942,37.2684,1.12,0.0713397,6,5.17762,37.1585,1.16571,0.0749527,7,5.85247,37.3319,0.891429,0.0826043,7,
6.0976,23.2015,100,0.444775,5,4.22995,23.1997,1.04,0.0771098,5,6.04203,23.1726,0.16,0.103119,5,6.14626,23.1997,1.04,0.125125,5,6.17987,23.1999,1.04571,0.118682,5,6.27621,23.2268,0.222857,0.113784,5,
12.9992,19.6766,100,0.51208,9,5.54079,20.4438,1.04,0.0648775,8,4.83314,22.5157,0.16,0.061567,7,5.65739,20.3663,1.36,0.0743589,8,5.58441,20.3852,1.25143,0.0668144,8,4.97762,20.4174,1.34286,0.0748271,7,
