baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI20,SI20,SI20,SI20,SI20,SI1000,SI1000,SI1000,SI1000,SI1000,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,adapJerk_10,IE_15,IE_15,IE_15,IE_15,IE_15,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
1291.88,0.916922,100,151.676,5,753.132,0.916921,20.0357,39.6568,5,573.228,0.916921,5.03571,10.131,5,509.746,0.916919,0.142857,4.3972,5,562.31,0.916921,2.03673,5.9216,5,568.704,0.916921,0.65102,4.834,5,
1645.3,0.914897,100,161.894,6,907.76,0.914892,20.0357,33.1998,6,760.051,0.91489,5.03571,9.77567,6,645.713,0.91489,0.142857,3.4615,6,714.822,0.91489,2.03571,6.3145,6,686.774,0.91489,0.457483,4.17217,6,
1420.18,0.920366,100,138.617,6,801.549,0.920366,20.0357,35.9322,6,614.555,0.920366,5.03571,9.22217,6,606.746,0.920366,0.142857,2.699,6,614.655,0.920366,2.03571,5.87433,6,609.537,0.920366,0.515306,4.44533,6,
1485.31,0.921821,100,145.26,6,825.668,0.921826,20.0357,31.6727,6,716.576,0.921821,5.03571,14.2033,6,666.588,0.921822,0.142857,5.73317,6,683.104,0.921821,2.03656,11.0963,6,600.643,0.921821,0.782313,6.366,6,
1630.85,0.913596,100,163.943,6,908.025,0.913593,20.0357,33.6915,6,782.083,0.913593,5.03571,11.0413,6,762.404,0.913594,0.142857,7.65833,6,781.19,0.913593,2.03571,13.1557,6,742.7,0.913593,0.605442,5.15733,6,
2131.62,0.918391,100,184.018,7,1089.95,0.918308,20.0357,42.9846,7,1075.94,0.918442,5.03571,17.9898,8,349.214,0.72958,0.142857,8.28633,3,900.464,0.918424,2.11006,10.6199,7,765.307,0.918071,0.897959,7.72067,6,
1777.84,0.412306,100,325.157,4,737.754,0.447537,20.0357,68.5888,4,666.541,0.459657,5.03571,19.2076,5,363.424,0.40363,0.142857,3.53833,3,506.791,0.429353,2.16327,12.0527,4,575.693,0.465748,4.04337,34.937,4,
1428.89,0.91035,100,166.446,5,734.979,0.91035,20.0357,38.0358,5,656.756,0.91035,5.03571,14.4784,5,578.457,0.910353,0.142857,2.854,5,637.399,0.91035,2.03571,9.1028,5,598.22,0.91035,0.534694,4.6502,5,
1900.59,0.35867,100,353.34,4,793.169,0.387695,20.0357,72.9607,4,586.546,0.390051,5.03571,25.0557,4,478.455,0.411116,0.142857,3.981,4,510.772,0.382859,2.17985,13.3985,4,620.488,0.402032,3.92602,39.4193,4,
1385.42,0.918455,100,164.162,5,752.479,0.918455,20.0357,36.6644,5,663.469,0.918455,5.03571,19.264,5,636.593,0.918454,0.142857,9.2128,5,651.67,0.918455,2.03571,15.253,5,605.223,0.918455,0.544898,7.2982,5,
1477.48,0.571522,100,258.045,4,713.978,0.614834,20.0357,64.4865,4,498.409,0.602667,5.03571,16.6055,4,350.832,0.416007,0.142857,3.268,3,166.29,1,2.12755,11.659,1,501.796,0.608331,4.50255,27.111,4,
1593.68,0.910492,100,162.215,6,872.949,0.910659,20.0357,37.2662,6,722.69,0.910664,5.03571,10.9565,6,575.75,0.906983,0.142857,9.2316,5,678.755,0.910693,2.05442,6.686,6,715.51,0.910683,0.738095,11.0662,6,
1780.68,0.921262,100,180.859,6,945.561,0.921323,20.0357,41.8022,6,850.416,0.921429,5.03571,21.6538,6,349.047,0.754538,0.142857,3.355,3,753.742,0.920774,2.20748,11.027,6,702.972,0.921467,1.09388,17.746,5,
1343.85,0.913198,100,160.331,5,735.597,0.913198,20.0357,37.116,5,609.825,0.913198,5.03571,15.6432,5,577.248,0.9132,0.142857,4.0294,5,608.967,0.913199,2.03571,10.6336,5,585.837,0.913198,0.595918,8.3188,5,
1426.79,0.916911,100,171.089,5,854.26,0.916911,20.0357,40.6078,5,667.514,0.916911,5.03571,12.4486,5,639.082,0.829406,0.142857,11.8112,5,670.566,0.916911,2.03571,6.349,5,616.297,0.916911,0.657143,5.4158,5,
2996.98,0.654434,100,246.472,8,875.656,0.548138,20.0357,63.1916,5,921.602,0.666352,5.03571,16.2873,7,336.395,0.514712,0.142857,3.46033,3,872.153,0.676593,2.80017,17.1835,6,760.272,0.564452,4.60816,35.3686,5,
1682.57,0.914328,100,167.448,6,895.015,0.914329,20.0357,38.211,6,764.93,0.914329,5.03571,10.3763,6,738.787,0.91433,0.142857,2.979,6,768.014,0.914329,2.03571,9.38433,6,760.562,0.914329,0.613946,7.36983,6,
1380.13,0.912925,100,158.716,5,755.948,0.912923,20.0357,37.9802,5,644.105,0.912923,5.03571,13.961,5,627.823,0.912924,0.142857,5.6072,5,647.91,0.912923,2.03571,10.1566,5,612.852,0.912923,0.634694,8.1706,5,
