baseline,baseline,baseline,baseline,setInterval5,setInterval5,setInterval5,setInterval5,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive_jerk,adaptive accel,adaptive accel,adaptive accel,adaptive accel,iterative_error,iterative_error,iterative_error,iterative_error,
36.2403,0.20426,2200,4.9581,21.5941,0.237015,441,1.42033,18.2147,0.17371,25,0.568777,18.5736,0.178464,31,0.584426,29.1795,0.209875,295,3.30768,
34.5252,0.206269,2200,4.68577,19.5999,0.189637,441,1.31351,18.3165,0.208848,26,0.573153,18.1583,0.211027,26,0.565285,27.926,0.272371,175,2.23067,
28.1791,0.259309,2200,4.13448,19.1503,0.252858,441,1.23657,18.2939,0.232065,28,0.568911,18.2499,0.300929,62,0.627812,26.5571,0.298829,271,2.69046,
23.6813,0.0697399,2200,4.24175,20.9378,0.240577,441,1.32699,16.519,0.0850257,24,0.556219,16.547,0.0529238,23,0.554501,25.1426,0.173262,142,2.0427,
33.7964,0.30402,2200,4.41611,26.2055,0.267299,441,1.2857,16.6303,0.0609481,27,0.559524,22.1423,0.117035,27,0.563081,29.1119,0.39147,151,1.89477,
35.8628,0.274799,2200,4.94635,19.9071,0.312802,441,1.36549,18.2934,0.404518,66,0.6648,18.7734,0.287634,57,0.643219,35.2506,0.428936,420,4.81844,
23.8807,0.11362,2200,4.18891,19.5669,0.112584,441,1.26484,16.6657,0.120591,27,0.56495,17.3067,0.118907,25,0.558885,18.0911,0.104906,27,0.805181,
29.1506,0.178291,2200,4.61618,21.0203,0.168309,441,1.32875,18.3374,0.177444,34,0.582073,18.0821,0.339597,40,0.600019,19.4633,0.110901,142,2.11172,
33.1316,0.198776,2200,4.31056,19.2574,0.297913,441,1.26678,17.1497,0.294605,28,0.556323,17.8212,0.265011,30,0.56281,19.7304,0.262592,103,1.45359,
23.1205,0.00187362,2200,4.02407,16.0833,7.19105e-05,441,1.21074,15.9801,0.000411303,26,0.548281,16.2999,0.00190652,24,0.543028,17.9539,0.00267163,61,1.15498,
32.2842,0.312149,2200,4.11017,20.4755,0.150866,441,1.19342,17.1433,0.0852087,26,0.558927,15.5277,0,27,0.557065,23.925,0.207811,218,2.07509,
24.2311,0.0585319,2200,4.3919,19.5179,0.0741373,441,1.2842,18.4274,0.104267,65,0.654852,18.5067,0.0547871,61,0.640436,22.3158,0.0781272,181,2.20522,
36.5913,0.314871,2200,5.11473,25.7907,0.238622,441,1.44202,22.0315,0.217744,109,0.761758,18.5038,0.221167,113,0.752753,19.1096,0.303291,123,1.8869,
34.5923,0.289154,2200,4.68185,21.3417,0.340429,441,1.32322,18.5145,0.274006,75,0.653362,18.4238,0.283196,53,0.611662,19.1371,0.0135704,122,1.61778,
35.549,0.182669,2200,5.01067,24.4211,0.14159,441,1.3151,22.2518,0.126246,43,0.596933,17.9028,0.139498,42,0.588231,37.1023,0.248969,323,3.48166,
20.6367,0,2200,5.64991,16.3407,0,441,1.54433,15.4432,0,30,0.593476,15.526,0,71,0.667181,19.4947,0,441,4.73467,
36.2843,0.250393,2200,5.00754,27.2492,0.3016,441,1.40732,22.1604,0.177518,30,0.569492,16.8947,0.0459549,29,0.564688,32.0019,0.378206,392,4.03475,
23.5988,0.0173975,2200,4.00303,19.572,0.0647471,441,1.26891,17.9639,0.185162,28,0.556942,27.8897,0.421806,72,0.640764,21.4975,0.0766268,160,1.87969,
25.3264,0.00189737,2200,4.89267,21.7058,0.240686,441,1.43041,18.2546,0.27977,48,0.628344,18.4157,0.156778,35,0.594189,29.2294,0.249324,267,3.31635,
28.3112,0.0776189,2200,4.26339,19.5904,0.0876654,441,1.30078,16.613,0.0145106,34,0.570731,16.6159,0.122595,42,0.593225,16.9004,0.00227731,38,0.887707,
35.9575,0.356258,2200,4.16191,20.7102,0.281952,441,1.22292,17.7723,0.220023,23,0.555279,17.8043,0.219222,24,0.55795,18.5295,0.23368,84,1.11015,
19.0756,0,2200,4.34075,16.0461,0,441,1.29408,15.1469,0,26,0.589797,14.8848,0,27,0.552553,16.41,0,133,1.83677,
29.7398,0.143738,2200,4.66969,20.1226,0.16386,441,1.36381,18.4933,0.159859,43,0.607121,16.0055,0.0157621,23,0.558642,35.791,0.314403,291,3.17426,
31.5497,0.454794,2200,3.95462,20.9602,0.417759,441,1.20035,17.3307,0.298192,26,0.557685,18.052,0.382172,26,0.556932,29.0023,0.539142,180,1.84196,
32.8503,0.315469,2200,4.24651,20.7473,0.292103,441,1.24874,17.7224,0.253489,33,0.569385,16.7252,0.024297,27,0.558443,18.5539,0.237104,67,1.13249,
39.6442,0.599249,2200,5.8371,22.4493,0.452948,441,1.54354,16.9377,0.0583046,50,0.64226,36.2051,0.449209,84,0.726587,25.7056,0.247726,156,2.48153,
33.2843,0.261079,2200,4.31122,21.0467,0.243955,441,1.2648,18.4165,0.28928,34,0.583521,18.432,0.218135,25,0.567783,33.8495,0.222217,277,2.78323,
42.7796,0.356391,2200,4.52789,31.7272,0.474091,441,1.31851,17.2021,0.223472,39,0.578613,17.2038,0.153432,31,0.564566,27.4376,0.300275,281,2.87763,
32.5074,0.316372,2200,4.15795,21.219,0.295462,441,1.25806,17.9087,0.389771,26,0.561553,22.8323,0.373827,38,0.582804,25.2707,0.372416,234,2.36973,
30.0191,0.255661,2200,4.83116,16.2488,0,441,1.3817,16.853,0.215636,35,0.594833,18.2145,0.15704,41,0.593643,36.2036,0.281023,295,3.36464,
28.1785,0.176396,2200,4.24124,19.6071,0.175081,441,1.28925,17.2355,0.0738069,33,0.576098,21.8533,0.145229,33,0.56997,17.4954,0.142236,24,0.73093,
34.8071,0.190378,2200,4.58001,21.1205,0.19156,441,1.28898,18.119,0.191849,25,0.55728,18.27,0.175748,25,0.564311,25.2811,0.355977,225,2.43514,
29.4494,0.228851,2200,4.56812,19.6891,0.228898,441,1.32939,21.737,0.343919,27,0.572707,17.2171,0.30321,25,0.563227,21.9372,0.242661,155,2.14434,
28.8862,0.136392,2200,4.22116,20.1358,0.0793562,441,1.27101,16.2891,0.0452039,26,0.551609,16.4349,0.0480521,26,0.559004,28.8182,0.249569,156,1.81992,
28.7269,0.207059,2200,4.33912,19.9577,0.0936162,441,1.28726,17.3572,0.0455891,63,0.628893,17.4052,0.174146,64,0.638755,22.936,0.222226,221,2.42769,
24.5065,0.000820944,2200,4.69443,17.8475,0.000226652,441,1.35914,17.1665,0.00542248,34,0.572216,18.2124,0.111588,45,0.614058,17.3607,0,139,2.27593,
37.6299,0.196232,2200,4.41697,23.1481,0.135329,441,1.27172,15.5753,0,26,0.579505,15.5231,0,24,0.543337,19.5339,0.0125674,160,2.11629,
43.2673,0.458341,2200,4.62112,21.2668,0.267106,441,1.32829,27.3869,0.447934,48,0.603177,18.0312,0.161131,32,0.575916,20.324,0.115035,119,1.65982,
29.1952,0.228089,2200,4.5196,19.2536,0.160813,441,1.2388,26.9313,0.261678,34,0.576631,16.1244,0.00449578,26,0.542423,18.0123,0.100952,52,0.928211,
37.1071,0.228067,2200,4.41531,24.6277,0.169025,441,1.28466,22.0894,0.0841888,47,0.609454,17.2983,0.184451,54,0.616391,22.7318,0.251689,193,2.29827,
29.1761,0.211081,2200,4.39815,26.558,0.272611,441,1.34685,17.9984,0.275247,26,0.564014,17.3684,0.0301141,26,0.566904,43.4653,0.318918,232,2.70743,
28.65,0.174323,2200,4.31265,19.4383,0.104369,441,1.27751,18.4773,0.145613,70,0.648042,18.8908,0.104407,63,0.634272,29.2072,0.174667,317,3.14114,
29.5207,0.180245,2200,4.64523,19.7758,0.205584,441,1.33986,17.105,0.116837,28,0.575126,21.6674,0.251177,34,0.582192,22.0269,0.167729,172,2.27169,
30.9987,0.274489,2200,3.89758,23.2215,0.284429,441,1.20598,16.6676,0.268292,25,0.563284,16.3769,0.261618,35,0.559844,16.5269,0.191959,5,0.545913,
38.4119,0.284727,2200,4.6299,21.1133,0.237946,441,1.32708,16.2725,0.129155,24,0.558041,20.8727,0.161722,32,0.569396,18.1719,0.208911,113,1.57412,
23.6001,0.000161896,2200,4.0671,16.773,0.00644242,441,1.22457,16.4461,0.00561232,27,0.559108,16.0569,0.00295173,26,0.539261,16.8522,0.00987552,30,0.820558,
29.5428,0.155305,2200,4.60654,19.6856,0.191005,441,1.4047,17.3403,0.0966686,56,0.636946,17.9545,0.206019,49,0.608342,23.7652,0.184768,246,2.7795,
19.7779,0.00134778,2200,4.50686,16.3396,0,441,1.29603,15.6801,0,26,0.571015,16.4907,0.00963172,26,0.562032,16.1295,0,51,1.12164,
28.8891,0.0695698,2200,4.47553,18.1489,0.122401,441,1.30922,16.5909,0.144076,41,0.599378,18.0442,0.291945,52,0.613529,23.0425,0.160359,192,2.54075,
37.6726,0.282168,2200,4.37018,19.915,0.206911,441,1.29839,23.0836,0.251902,62,0.635334,17.0109,0.168032,50,0.612197,24.1543,0.136738,165,2.13373,
41.3865,0.438267,2200,4.28567,17.5994,0.00469116,441,1.21729,15.799,0.00245436,23,0.542818,17.4682,0.416128,26,0.549476,29.0759,0.443705,354,3.39275,
24.5904,0.0453765,2200,4.40659,16.5375,0,441,1.32354,15.3486,0,24,0.554699,15.4284,0,26,0.554163,17.1395,0,113,1.78358,
