baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
18951.6,0,100,2933.29,5,7239.08,0,20.0333,593.176,5,4325.33,0,0.133333,13.6692,5,4595.6,0,2.03333,66.6168,5,4445.27,0,0.555072,38.344,5,5162.82,0,5.34058,180.27,5,
21537.6,0,100,3385.91,5,11310.9,0.0117278,20.0333,1367.51,5,3769.61,0.130783,0.133333,51.6974,5,4940.68,0,2.03913,77.8814,5,5126.77,0,1.85072,114.257,5,10338.5,0.477039,8.92572,1234.78,5,
83744.8,0.814662,100,13248.7,6,16496.6,0.363179,20.0333,2563.38,5,4271.81,0.244513,0.133333,37.8316,5,5592.39,0.376976,2.53681,471.314,5,6105.96,0.342682,1.89457,507.618,5,13451.5,0.710663,10.7658,1518.82,6,
38890.3,0.0983883,100,6857.67,5,8399.8,0,20.0333,691.653,5,4702.37,0.142216,0.133333,55.9506,5,5357.38,0,2.05217,78.0152,5,5356.37,0,1.3058,86.852,5,6393.53,0,7.88116,285.766,5,
98443.2,0.827314,100,15718.8,6,7599.66,0,20.0333,633.098,5,4442.62,0,0.133333,12.992,5,4740.72,0,2.03333,70.6754,5,4514.77,0,0.25942,19.6446,5,5491.74,0,6.22174,213.95,5,
44895,0.295803,100,6795.86,6,20220.5,0.995358,20.0333,2832.41,6,4703.75,0.570251,0.133333,41.6335,6,4705.53,0.730384,2.13043,274.114,5,5145.65,0.660367,1.23804,344.253,5,8097.65,0.794358,6.3371,1028.7,5,
19845.5,0,100,3000.68,5,7879.69,0,20.0333,607.043,5,4851.53,0,0.133333,13.6984,5,5176.46,0,2.21304,79.0792,5,6948.73,0.999888,2.2215,624.565,6,6205.2,0,8.55507,280.441,5,
52572.7,0.0437447,100,9439,5,11646.1,0.00028096,20.0333,1279.89,5,5345.17,0.00279936,0.133333,26.9822,5,5515.84,0,2.33333,87.81,5,6086.23,8.28664e-05,0.786957,177.953,5,8506.48,0.00305198,9.01449,652.402,5,
99106.8,0.989127,100,15991.8,6,24214.5,0.815514,20.0333,3214.89,6,3943.5,0.75206,0.133333,64.9652,5,5454.85,0.770785,2.07913,372.312,5,5400.12,0.618093,1.02174,338.807,5,10941.2,0.770516,8.80899,1464.06,5,
22590.4,0,100,3448.47,5,8829.73,0,20.0333,696.564,5,5355.45,0,0.133333,13.6522,5,5849.64,0,2.51014,102.964,5,7549.33,0.00218247,2.16618,502.12,5,9545.19,0.0057944,11.2957,825.845,5,
